index,prompt_amusement,prompt_surprise,prompt_joy,prompt_excitement,prompt_anger,prompt_disgust,prompt_fear,prompt_sadness,image_index,image_amusement,image_awe,image_contentment,image_excitement,image_anger,image_disgust,image_fear,image_sadness
0,0.0015827075112611055,0.005494621582329273,0.003911871928721666,0.026353051885962486,0.0012924006441608071,0.000964148435741663,0.0002874347264878452,0.00028074122383259237,0,0.002721654251217842,0.006326593458652496,0.0022978857159614563,0.002051878720521927,0.17008312046527863,0.0018703407840803266,0.6534266471862793,0.16122180223464966
1,0.002758040791377425,0.002149041276425123,0.004020736552774906,0.008562450297176838,0.0006902249879203737,0.0003847953921649605,0.00026487247669138014,0.00032024909160099924,1,0.1129930168390274,0.01560039073228836,0.008133185096085072,0.09550350904464722,0.012226543389260769,0.05762876942753792,0.6940731406211853,0.003841463476419449
2,0.0012650912394747138,0.0010477678151801229,0.004507104400545359,0.035413604229688644,0.0008045009453780949,0.0004246635071467608,0.00029400395578704774,0.00029278325382620096,2,0.5189424157142639,0.06214729696512222,0.006806244608014822,0.15314881503582,0.006162040866911411,0.10897286981344223,0.1293334662914276,0.014486826956272125
3,0.0008653511758893728,0.0019761379808187485,0.0009370088228024542,0.00601999694481492,0.0005509959300979972,0.00035412056604400277,0.00039135286351665854,0.00036803557304665446,3,0.13213711977005005,0.10107650607824326,0.011369895190000534,0.027649227529764175,0.678427517414093,0.00591343455016613,0.033295635133981705,0.010130785405635834
4,0.0012540919706225395,0.00032367618405260146,0.0003850983630400151,0.004578325431793928,0.0008766789105720818,0.01727898046374321,0.044938161969184875,0.0003361552953720093,4,0.0019185958663001657,0.004630945157259703,0.003825817024335265,0.006641770713031292,0.005470790900290012,0.012240179814398289,0.8343937993049622,0.13087818026542664
5,0.0015827075112611055,0.005494621582329273,0.003911871928721666,0.026353051885962486,0.0012924006441608071,0.000964148435741663,0.0002874347264878452,0.00028074122383259237,5,0.061351075768470764,0.009173878468573093,0.04120437800884247,0.09514962881803513,0.3064940869808197,0.004795536864548922,0.37153270840644836,0.11029873788356781
6,0.0025076582096517086,0.0023018047213554382,0.004437062423676252,0.009533901698887348,0.0006923245382495224,0.00040198484202846885,0.00026398777845315635,0.00033032934879884124,6,0.24662691354751587,0.22704149782657623,0.017244357615709305,0.1195521354675293,0.07315954566001892,0.03932269662618637,0.22894205152988434,0.048110831528902054
7,0.0004441143828444183,0.0002903974673245102,0.0003448891802690923,0.0003565613296814263,0.00064924790058285,0.0007546457927674055,0.0003078592708334327,0.00028796549304388463,7,0.1919689178466797,0.06728830933570862,0.050535861402750015,0.05696554481983185,0.04560694843530655,0.265864759683609,0.1266348510980606,0.19513477385044098
8,0.0006512393592856824,0.0015804244903847575,0.0006835170206613839,0.0011587804183363914,0.034404557198286057,0.07406828552484512,0.0005367023404687643,0.0005780407809652388,8,0.7193896174430847,0.010753034614026546,0.09266018122434616,0.031069442629814148,0.01927107758820057,0.09297659993171692,0.028148815035820007,0.00573130464181304
9,0.0018542433390393853,0.003963397815823555,0.0028324907179921865,0.0237271785736084,0.0013328430941328406,0.004945023916661739,0.0003705585841089487,0.0002767234982457012,9,0.026409633457660675,0.006497577298432589,0.001291524269618094,0.03515581786632538,0.14493407309055328,0.0013616143260151148,0.7790939211845398,0.005255780182778835
