img_id,img_amusement,img_awe,img_contentment,img_excitement,img_anger,img_disgust,img_fear,img_sadness
anger.154,0.006206028629094362,0.0453694611787796,0.036360275000333786,0.24662861227989197,0.07525366544723511,0.004119499120861292,0.5128132104873657,0.07324925810098648
anger.1,0.008310357108712196,0.061734117567539215,0.016366783529520035,0.05084264278411865,0.12142645567655563,0.006986156105995178,0.5017626285552979,0.2325708419084549
anger.155,0.0007299028802663088,0.016893789172172546,0.0006429933127947152,0.0003098661545664072,0.9521172642707825,0.007543113082647324,0.01996423862874508,0.0017987428000196815
anger.10,0.000507431395817548,7.975912012625486e-05,0.00040450901724398136,0.005145364906638861,0.9869585633277893,0.0009906706400215626,0.004181616473942995,0.0017320405459031463
anger.156,0.018760275095701218,0.17590999603271484,0.010343323461711407,0.013993424363434315,0.09771241992712021,0.0008820598595775664,0.1726231426000595,0.5097754001617432
anger.100,0.004477723501622677,0.0009705389966256917,0.004772338084876537,0.003752075834199786,0.08856390416622162,0.20043283700942993,0.6844043731689453,0.01262615341693163
anger.157,0.01419402752071619,0.6742114424705505,0.042149364948272705,0.14119675755500793,0.019798003137111664,0.012241466902196407,0.060849644243717194,0.035359252244234085
anger.101,0.04154079407453537,0.6579155325889587,0.06193743646144867,0.07118547707796097,0.09483619034290314,0.003240874269977212,0.01336747407913208,0.05597617104649544
anger.159,0.0029773986898362637,0.9740400314331055,0.010317644104361534,0.0038894773460924625,0.00038627954199910164,0.0007874497678130865,0.004143925849348307,0.0034577548503875732
anger.102,0.06704608350992203,0.0489530973136425,0.02082408405840397,0.008519389666616917,0.11036229133605957,0.09718415886163712,0.5442105531692505,0.102900430560112
anger.158,0.003367052413523197,0.9443951845169067,0.01062642689794302,0.028492001816630363,0.003088519908487797,0.002647134242579341,0.0027871469501405954,0.0045965323224663734
anger.103,0.005163515917956829,0.1181829571723938,0.014861366711556911,0.0026563473511487246,0.006409491412341595,0.06735280901193619,0.1244094967842102,0.6609640717506409
anger.16,0.0020737922750413418,0.002867039991542697,0.00089317059610039,0.0001398261374561116,0.95597904920578,0.0031689859461039305,0.02511712908744812,0.009761098772287369
anger.104,0.018144192174077034,0.0032077862415462732,0.0037525806110352278,0.008934184908866882,0.025077160447835922,0.003853157628327608,0.815663754940033,0.12136724591255188
anger.160,0.001985901268199086,0.006258195731788874,0.0012743253028020263,0.0006100068567320704,0.0011850185692310333,0.33675166964530945,0.22029557824134827,0.43163931369781494
anger.105,0.023001346737146378,0.06389955431222916,0.09298327565193176,0.010098288767039776,0.008684414438903332,0.09049990773200989,0.4545426368713379,0.25629064440727234
anger.170,0.37276917695999146,0.2780500650405884,0.026861626654863358,0.0290831308811903,0.04705801606178284,0.03695974498987198,0.19272947311401367,0.0164888184517622
anger.106,0.004836475010961294,0.007011319510638714,0.022270143032073975,0.016557978466153145,0.14416617155075073,0.0009239178034476936,0.45733001828193665,0.346903920173645
anger.171,0.035749856382608414,0.42570504546165466,0.05110941827297211,0.038723621517419815,0.1319936066865921,0.007882821373641491,0.23359239101409912,0.07524319738149643
anger.107,0.0019506639800965786,0.0032280469313263893,0.011078246869146824,0.004665357060730457,0.1451927274465561,0.000788018514867872,0.5352175235748291,0.29787933826446533
anger.172,0.023303357884287834,0.22976969182491302,0.031195497140288353,0.08916590362787247,0.5731552839279175,0.001737243146635592,0.04949665442109108,0.0021763804834336042
anger.108,0.004509464837610722,0.0072802286595106125,0.010183552280068398,0.0024286354891955853,0.12212736904621124,0.00595941161736846,0.35214945673942566,0.4953618347644806
anger.173,0.03221796825528145,0.8217558860778809,0.015553200617432594,0.003247078973799944,0.0109019810333848,0.0012250473955646157,0.05338699370622635,0.06171185523271561
anger.109,0.0064660292118787766,0.11569852381944656,0.006308760493993759,0.0013807743089273572,0.00866131205111742,0.0187652800232172,0.6377090811729431,0.20501022040843964
anger.174,0.012943556532263756,0.5557852983474731,0.26023557782173157,0.0033393341582268476,0.00824006088078022,0.015871020033955574,0.09428948163986206,0.04929564520716667
anger.11,0.033983729779720306,0.07067268341779709,0.03887616842985153,0.0011042060796171427,0.009198274463415146,0.005106839817017317,0.47351574897766113,0.3675423264503479
anger.175,0.02654743567109108,0.7165202498435974,0.13224264979362488,0.028895970433950424,0.0260908305644989,0.021485159173607826,0.031629763543605804,0.016587911173701286
anger.110,0.016771400347352028,0.8581905364990234,0.05309983342885971,0.03238224238157272,0.0014769623521715403,0.00744158960878849,0.01754644513130188,0.013090971857309341
anger.176,0.00030656601302325726,0.9914980530738831,0.002435507485643029,0.0019046112429350615,0.0015300916275009513,0.00028827734058722854,0.0006980205071158707,0.0013389511732384562
anger.111,0.030294857919216156,0.4153153598308563,0.010402480140328407,0.002442658180370927,0.018299760296940804,0.004669015761464834,0.05114856734871864,0.4674273431301117
anger.177,0.01981770433485508,0.6018672585487366,0.0072151231579482555,0.0031093237921595573,0.013328262604773045,0.005353714805096388,0.07608438283205032,0.27322420477867126
anger.112,0.0021011927165091038,0.9489628672599792,0.0021392693743109703,0.004531529266387224,0.0383010171353817,0.0004302698653191328,0.0019029168179258704,0.0016310012433677912
